,End of the Year,Currency Issues of the CBSL,Government Agencies Deposit with CBSL,Commercial Bank Deposit with CBSL,Total,M1,M2,M2b,M2 velocity,M2b velocity
0,2003 Jan  ,86019,18,37490,123527,1.10124912,4.152881556,5.095995208,,
12,2004 Jan  ,98944,20,46917,145881,1.118219645,4.031052707,4.965005724,,
24,2005 Jan  ,118554,7,56087,174648,1.137825798,4.019210068,4.966475425,,
36,2006 Jan  ,130987,25.6,65851.5,196864.1,1.168537671,4.237813922,5.285603259,,
48,2007 Jan  ,157516.6,7.5,79257.8,236781.9,1.078407598,4.208831418,5.102177151,,
60,2008 Jan  ,171662.99,2.83,88758.05,260423.87,0.991730022,4.394223802,5.370571595,,
72,2009 Jan  ,177969.9,12.9,85786.8,263769.6,1.006994741,4.883665517,5.79389778,,
84,2010 Jan  ,221237.5096,26.47,87925.83549,309189.8151,1.098857048,5.018742509,5.823626261,,
96,2011 Jan  ,253223.1531,26.702,109635.8162,362885.6714,1.123764041,5.048514397,5.789853692,,
108,2012 Jan  ,290901.1112,1.774,143995.7703,434898.6555,0.992598948,5.09770668,5.801544781,,
120,2013 Jan  ,309377.6339,13.339,174705.0228,484095.9957,0.910150153,5.427423379,6.165371752,,
132,2014 Jan  ,335843.5034,21.581,149314.6962,485179.7806,0.991144078,6.378192073,7.133049817,,
144,2015 Jan  ,412521.1034,7.39,163576.0558,576104.5493,1.036608923,6.018969441,6.762672866,,
156,2016 Jan  ,482806.9841,6.634007,235747.8138,718561.4319,0.963579304,5.709952484,6.454956081,,
168,2017 Jan  ,534482.9432,17.09764964,293969.0551,828469.096,0.896655497,5.873497413,6.59098533,,
180,2018 Jan  ,587933.365,26.8157055,342023.0769,929983.2576,0.831644692,6.171093551,6.858582645,,
192,2019 Jan  ,626163.1372,47.88844302,322917.5019,949128.5275,0.843395678,6.763188743,7.492058533,,
204,2020 Jan  ,668042.4059,106.6143272,267408.9573,935557.9775,0.918202798,7.483305108,8.234419058,,
216,2021 Jan  ,844767.7832,29.85753627,131099.4771,975897.1179,1.212354958,8.812423397,9.768136796,,
228,2022 Jan  ,1025301.896,3.37369062,312184.2239,1337489.494,1.121767611,7.215733907,7.975932219,,
240,2023 Jan  ,1030153.404,8.267561,559557.4743,1589719.146,0.887808228,6.616465945,7.751345328,,
252,2024 Jan  ,1170831.599,14.10951409,317768.5101,1488614.219,1.079229494,7.691440955,8.810169175,,
171,2003 Apr  ,580066.1678,16.1418314,305477.3757,885559.6853,0.864081329,5.811922113,6.471358671,,
