End of the Year,Currency Issues of the CBSL,Government Agencies Deposit with CBSL,Commercial Bank Deposit with CBSL,Total,M1,M2,M2b,M2 velocity,M2b velocity
2003 Jan ,86019.0,18.0,37490.0,123527.0,1.1012491196256688,4.152881556258955,5.095995207525481,,
Feb,86977.0,18.0,40145.0,127140.0,1.0841434638980652,4.075743275129779,5.00029101777568,,
Mar,91477.0,18.0,40283.0,131778.0,1.071536978858383,3.9815067765484375,4.879896492586016,,
Apr,91365.0,16.0,37261.0,128642.0,1.1128947000202112,4.1227126443929665,5.041829262604748,,
May,90524.0,17.0,41880.0,132421.0,1.0874710204574802,4.0235763209762805,4.918026596989903,,
Jun,89271.0,18.0,41436.0,130725.0,1.0878561866513674,4.075479059093517,5.010548862115127,,
Jul,89206.0,18.0,41802.0,131026.0,1.1016210523102286,4.118358188451147,5.040648420924091,,
Aug,91057.0,17.0,44172.0,135246.0,1.1050530145068986,4.033280097008414,4.9446416160182185,,
Sep,91571.0,17.0,43012.0,134600.0,1.156664190193165,4.129405646359584,5.043781575037147,,
Oct,92186.0,17.0,45524.0,137727.0,1.1015777588998525,4.045241673745888,4.987112185700698,,
Nov,94881.0,17.0,46092.0,140990.0,1.1165330874530108,4.033697425349316,4.966550819207036,,
Dec,98785.0,20.0,42642.0,141447.0,1.1427248368646914,4.105756926622693,5.0750811257927,3.36,2.74
2004 Jan ,98944.0,20.0,46917.0,145881.0,1.1182196447789636,4.031052707343656,4.965005723843406,,
Feb,101629.0,21.0,45118.0,146768.0,1.1349612994658236,4.0535062138885865,5.008605418074785,,
Mar,116940.0,20.0,41699.0,158659.0,1.0833863821151022,3.821970389325535,4.702443605468331,,
Apr,106815.0,20.0,46250.0,153085.0,1.107196049227875,3.973230383318962,4.894763659167515,,
May,106026.0,20.0,46139.0,152185.0,1.1291914446233202,4.030016098827086,4.961034267503368,,
Jun,105663.0,4.0,45463.0,151130.0,1.1233441408059286,4.072553430821148,5.027426718718984,,
Jul,107273.6,4.1,49041.0,156318.7,1.0997895329422527,3.9951957215693548,4.969600624364281,,
Aug,108919.0,5.0,46926.0,155850.0,1.1129868463265962,4.060712223291627,5.04344562078922,,
Sep,109763.0,5.0,48473.0,158241.0,1.125233030630494,4.077205022718512,5.065615106072383,,
Oct,110866.0,4.0,50936.0,161806.0,1.086659332781232,4.059911251745918,5.028083012990866,,
Nov,112530.0,4.0,51388.0,163922.0,1.1088261490220959,4.099895072046461,5.09194616951965,,
Dec,115909.0,7.0,55051.0,170967.0,1.1022770476173764,4.023957839817041,5.022279153286892,3.3249914145255177,2.6860349696020958
2005 Jan ,118554.0,7.0,56087.0,174648.0,1.1378257981769044,4.019210068251569,4.966475424854565,,
Feb,121399.0,8.0,53259.0,174666.0,1.1370386909873702,4.049740647865068,5.027881785808343,,
Mar,133773.2,7.4,56974.3,190754.90000000002,1.0909019422819848,3.7802154596209796,4.674378129013657,,
Apr,127409.8,7.0,54444.4,181861.2,1.1407833455221295,4.004772875987705,4.976064136895761,,
May,123591.2,7.9,55596.1,179195.19999999998,1.1441000027902564,4.069605736767209,5.031764279137253,,
Jun,123367.7,7.8,56441.9,179817.4,1.1586446220323996,4.106458232536412,5.078268461825077,,
Jul,124153.7,7.8,60485.5,184647.0,1.1648063602441414,4.059670614740559,5.027452382112896,,
Aug,126387.6,7.9,57893.5,184289.0,1.1508011872656534,4.1093445620737,5.130740304630227,,
Sep,126996.0,8.2,60889.3,187893.5,1.145608694263787,4.1270556803303995,5.1045429870033106,,
Oct,129800.4,7.9,61370.7,191179.0,1.1740567740180667,4.180924683150346,5.171734343207151,,
Nov,129734.3,7.9,61226.5,190968.7,1.181191711743791,4.254020286015008,5.269734878435767,,
Dec,132436.5,12.0,65483.6,197932.1,1.165561910150961,4.157650102055252,5.164793969646141,3.2546973993611887,2.6262593419795115
2006 Jan ,130987.0,25.6,65851.5,196864.1,1.168537670676203,4.23781392230169,5.28560325910273,,
Feb,134736.5,25.9,68267.1,203029.5,1.1392848347534847,4.181648032310496,5.215652859183372,,
